"departurePoint","departureDate","totalCapacity","availableSeats","status","basePrice","trafficJam","weather","weatherSource","weatherTemperature","weatherWindSpeed","weatherPrecipitation","trajetId","actualDelayMinutes"
"Ariana","2024-12-02T00:00:00","40","40","COMPLETED","67.33","true","SUNNY","AUTO","24.1","21.2","0.8","72","37"
"Mahdia","2025-01-01T23:00:00","54","45","COMPLETED","78.98","false","SUNNY","AUTO","29.0","18.5","1.0","60","10"
"Zaghouan","2022-06-19T13:45:00","13","1","COMPLETED","79.54","false","SUNNY","AUTO","28.4","8.5","0.5","67","17"
"Sfax","2022-08-12T14:15:00","13","1","COMPLETED","24.26","true","STORM","AUTO","17.8","63.1","70.7","57","97"
"Ariana","2023-07-17T15:00:00","35","10","COMPLETED","59.11","false","SUNNY","AUTO","25.9","24.5","0.7","5","7"
"Sousse","2023-12-23T00:15:00","49","28","COMPLETED","8.88","true","STORM","AUTO","10.0","118.1","26.8","3","82"
"Kairouan","2023-11-26T18:45:00","45","39","COMPLETED","11.14","true","RAIN","AUTO","13.8","39.0","12.1","52","31"
"Sousse","2024-02-24T11:15:00","54","16","COMPLETED","7.4","false","SUNNY","AUTO","36.4","14.2","0.4","58","8"
"Siliana","2023-02-10T01:30:00","37","33","COMPLETED","17.87","false","SUNNY","AUTO","24.4","20.2","0.9","65","19"
"Nabeul","2023-11-01T04:15:00","40","25","COMPLETED","73.89","true","SANDSTORM","AUTO","33.2","47.9","0.0","51","71"
"Sfax","2023-06-24T08:30:00","30","3","COMPLETED","55.21","false","SUNNY","AUTO","22.9","7.4","0.5","12","12"
"Nabeul","2024-07-05T11:30:00","47","35","COMPLETED","12.7","false","RAIN","AUTO","17.2","49.2","28.1","69","7"
"Mahdia","2022-10-31T15:45:00","55","18","COMPLETED","6.19","true","SUNNY","AUTO","24.6","18.9","0.5","67","32"
"Bizerte","2024-03-28T20:15:00","20","8","COMPLETED","36.11","false","RAIN","AUTO","17.9","54.5","28.6","57","26"
"Bizerte","2022-07-15T07:45:00","39","1","COMPLETED","55.92","false","RAIN","AUTO","17.4","39.9","13.8","72","33"
"Jendouba","2023-09-03T13:45:00","39","3","COMPLETED","55.7","true","RAIN","AUTO","17.9","39.2","28.4","58","63"
"Bizerte","2023-04-21T19:45:00","27","9","COMPLETED","48.96","false","SUNNY","AUTO","31.4","21.1","0.9","70","0"
"Beja","2023-07-09T18:45:00","35","17","COMPLETED","57.87","true","SUNNY","AUTO","24.3","23.1","0.8","66","37"
"Sousse","2024-10-21T22:15:00","11","9","COMPLETED","73.25","false","RAIN","AUTO","19.9","39.1","17.9","56","7"
"Kasserine","2023-09-13T05:15:00","20","19","COMPLETED","8.89","false","SUNNY","AUTO","28.6","8.5","0.6","67","14"
"Beja","2024-11-16T22:45:00","9","3","COMPLETED","7.49","false","STORM","AUTO","8.4","84.1","42.8","56","59"
"Gafsa","2024-12-08T09:30:00","22","13","COMPLETED","60.28","false","SUNNY","AUTO","25.7","18.1","1.0","43","8"
"Gafsa","2023-01-07T10:15:00","31","15","COMPLETED","5.48","true","STORM","AUTO","15.1","101.8","75.5","67","120"
"Sfax","2023-04-22T05:15:00","15","7","COMPLETED","44.61","false","RAIN","AUTO","11.9","35.7","8.7","61","23"
"Gafsa","2024-10-14T02:45:00","56","48","COMPLETED","71.92","false","SUNNY","AUTO","36.2","10.6","0.9","72","20"
"Medenine","2023-05-13T21:00:00","23","6","COMPLETED","17.35","false","SUNNY","AUTO","22.1","20.4","0.9","58","15"
"Ariana","2023-11-22T21:45:00","49","28","COMPLETED","75.28","false","SUNNY","AUTO","27.9","15.0","0.0","69","4"
"Bizerte","2023-03-08T13:15:00","20","7","COMPLETED","25.77","false","RAIN","AUTO","19.0","43.8","8.9","12","24"
